InicioPeriodo,FimPeriodo,codigoSegmento,Segmento,codigoModalidade,Modalidade,Posicao,InstituicaoFinanceira,cnpj8,TaxaJurosAoMes,TaxaJurosAoAno
2026-08-11,2026-08-17,,PESSOA FÍSICA,,Aquisição de outros bens - Prefixado,1,SINOSSERRA S/A - SCFI,22639377,0.2,2.42
2026-08-11,2026-08-17,,PESSOA FÍSICA,,Aquisição de outros bens - Prefixado,2,DEUTSCHE SPARKASSEN LEASING DO BRASIL BM S.A.,23511655,0.52,6.43
2026-08-11,2026-08-17,,PESSOA FÍSICA,,Aquisição de outros bens - Prefixado,3,BCO VOLVO BRASIL S.A.,58017179,1.15,14.76
2026-08-11,2026-08-17,,PESSOA FÍSICA,,Aquisição de outros bens - Prefixado,4,BANCO CNH INDUSTRIAL CAPITAL S.A,02992446,1.32,17.05
2026-08-11,2026-08-17,,PESSOA FÍSICA,,Aquisição de outros bens - Prefixado,5,BANCO TRATON BRASIL S.A.,52067630,1.46,19.01
2026-08-11,2026-08-17,,PESSOA FÍSICA,,Aquisição de outros bens - Prefixado,6,BCO CATERPILLAR S.A.,02658435,1.48,19.26
2026-08-11,2026-08-17,,PESSOA FÍSICA,,Aquisição de outros bens - Prefixado,7,BANCO SANY BRASIL S.A.,60935819,1.52,19.89
2026-08-11,2026-08-17,,PESSOA FÍSICA,,Aquisição de outros bens - Prefixado,8,BCO DE LAGE LANDEN BRASIL S.A.,05040481,1.57,20.56
2026-08-11,2026-08-17,,PESSOA FÍSICA,,Aquisição de outros bens - Prefixado,9,BCO DO EST. DO PA S.A.,04913711,1.61,21.13
2026-08-11,2026-08-17,,PESSOA FÍSICA,,Aquisição de outros bens - Prefixado,10,BCO ARBI S.A.,54403563,1.86,24.79
2026-08-11,2026-08-17,,PESSOA FÍSICA,,Aquisição de outros bens - Prefixado,11,STARA FINANCEIRA S.A. - CFI,17359351,1.9,25.41
2026-08-11,2026-08-17,,PESSOA FÍSICA,,Aquisição de outros bens - Prefixado,12,PORTOSEG S.A. CFI,04862600,2.0,26.83
2026-08-11,2026-08-17,,PESSOA FÍSICA,,Aquisição de outros bens - Prefixado,13,BCO BRADESCO S.A.,60746948,2.07,27.8
2026-08-11,2026-08-17,,PESSOA FÍSICA,,Aquisição de outros bens - Prefixado,14,BANCO SICOOB S.A.,02038232,2.09,28.21
2026-08-11,2026-08-17,,PESSOA FÍSICA,,Aquisição de outros bens - Prefixado,15,SANTANDER SCFI S.A.,07707650,2.14,28.94
2026-08-11,2026-08-17,,PESSOA FÍSICA,,Aquisição de outros bens - Prefixado,16,BCO DO ESTADO DO RS S.A.,92702067,2.25,30.56
2026-08-11,2026-08-17,,PESSOA FÍSICA,,Aquisição de outros bens - Prefixado,17,BCO BV S.A.,01858774,2.25,30.62
2026-08-11,2026-08-17,,PESSOA FÍSICA,,Aquisição de outros bens - Prefixado,18,SOLFÁCIL SCFI,48755901,2.28,31.06
2026-08-11,2026-08-17,,PESSOA FÍSICA,,Aquisição de outros bens - Prefixado,19,TODESCREDI S/A - CFI,09473806,2.39,32.76
2026-08-11,2026-08-17,,PESSOA FÍSICA,,Aquisição de outros bens - Prefixado,20,BCO BANESTES S.A.,28127603,2.52,34.76
2026-08-11,2026-08-17,,PESSOA FÍSICA,,Aquisição de outros bens - Prefixado,21,BARU SCFI S/A,42723848,2.53,34.9
2026-08-11,2026-08-17,,PESSOA FÍSICA,,Aquisição de outros bens - Prefixado,22,BECKER FINANCEIRA SA - CFI,20443996,2.66,37.01
2026-08-11,2026-08-17,,PESSOA FÍSICA,,Aquisição de outros bens - Prefixado,23,BCO BRADESCO FINANC. S.A.,07207996,2.75,38.52
2026-08-11,2026-08-17,,PESSOA FÍSICA,,Aquisição de outros bens - Prefixado,24,BCO SOFISA S.A.,60889128,3.04,43.28
2026-08-11,2026-08-17,,PESSOA FÍSICA,,Aquisição de outros bens - Prefixado,25,BCO DO BRASIL S.A.,00000000,3.23,46.36
2026-08-11,2026-08-17,,PESSOA FÍSICA,,Aquisição de outros bens - Prefixado,26,BCO RENDIMENTO S.A.,68900810,3.42,49.78
2026-08-11,2026-08-17,,PESSOA FÍSICA,,Aquisição de outros bens - Prefixado,27,HS FINANCEIRA,07512441,3.63,53.33
2026-08-11,2026-08-17,,PESSOA FÍSICA,,Aquisição de outros bens - Prefixado,28,LEBES FINANCEIRA S.A. - CFI,11271860,3.92,58.61
2026-08-11,2026-08-17,,PESSOA FÍSICA,,Aquisição de outros bens - Prefixado,29,CENTROCRED S.A. CFI,26225776,4.73,74.04
